"id","zoho_job_role_id","role_name","role_status","created_at","updated_at"
"1","65616000121285954","House help","active","2025-09-11 08:05:55","2025-09-11 08:05:55"
"2","65616000121285950","Chef on Demand","active","2025-09-11 08:05:55","2025-09-11 08:05:55"
"3","65616000116795884","Tattoo Artist","active","2025-09-11 08:05:55","2025-09-11 08:05:55"
"4","65616000116795880","Ticketing Staff","active","2025-09-11 08:05:55","2025-09-11 08:05:55"
"5","65616000116795870","Referees","active","2025-09-11 08:05:55","2025-09-11 08:05:55"
"6","65616000116795866","Ushers","active","2025-09-11 08:05:55","2025-09-11 08:05:55"
"7","65616000116795862","Catering Staff","active","2025-09-11 08:05:55","2025-09-11 08:05:55"
"8","65616000116795858","Crowd Manager","active","2025-09-11 08:05:55","2025-09-11 08:05:55"
"9","65616000116795854","Guest Relation Coordinator (RSVP)","active","2025-09-11 08:05:55","2025-09-11 08:05:55"
"10","65616000116795850","Birthday decor specialist","active","2025-09-11 08:05:55","2025-09-11 08:05:55"
"11","65616000116795846","Emcee","active","2025-09-11 08:05:55","2025-09-11 08:05:55"
"12","65616000116795842","Info Desk Manager","active","2025-09-11 08:05:55","2025-09-11 08:05:55"
"13","65616000116795838","Stall Manager","active","2025-09-11 08:05:55","2025-09-11 08:05:55"
"14","65616000116795834","Artist Manager","active","2025-09-11 08:05:55","2025-09-11 08:05:55"
"15","65616000116795830","Event manager","active","2025-09-11 08:05:55","2025-09-11 08:05:55"
"16","65616000116795826","Event Promoter","active","2025-09-11 08:05:55","2025-09-11 08:05:55"
"17","65616000116795822","Valet","active","2025-09-11 08:05:55","2025-09-11 08:05:55"
"18","65616000116795818","Costume Artist","active","2025-09-11 08:05:55","2025-09-11 08:05:55"
"19","65616000104742322","Invigilator / Proctor (Offline)","active","2025-09-11 08:05:55","2025-09-11 08:05:55"
"20","65616000104742318","Invigilator / Proctor (Online)","active","2025-09-11 08:05:55","2025-09-11 08:05:55"
"21","65616000102065540","Hospitality","active","2025-09-11 08:05:55","2025-09-11 08:05:55"
"22","65616000089674452","Delivery Executive","active","2025-09-11 08:05:55","2025-09-11 08:05:55"
"23","65616000082423803","EV 4 Wheeler Technician","active","2025-09-11 08:05:55","2025-09-11 08:05:55"
"24","65616000082423781","EV 2 Wheeler Technician","active","2025-09-11 08:05:55","2025-09-11 08:05:55"
"25","65616000065566968","Picker & Packer","active","2025-09-11 08:05:55","2025-09-11 08:05:55"
"26","65616000061151819","Cash Collection and Deposit ","active","2025-09-11 08:05:55","2025-09-11 08:05:55"
"27","65616000052377418","Driver","active","2025-09-11 08:05:55","2025-09-11 08:05:55"
"28","65616000048820802","Retail Store Sales ","active","2025-09-11 08:05:55","2025-09-11 08:05:55"
"29","65616000048820798","Merchant Onboarding","active","2025-09-11 08:05:55","2025-09-11 08:05:55"
"30","65616000048820794","Customer Signup (App)","active","2025-09-11 08:05:55","2025-09-11 08:05:55"
"31","65616000048820790","Background Verification","active","2025-09-11 08:05:55","2025-09-11 08:05:55"
"32","65616000048820786","Survey Executive ","active","2025-09-11 08:05:55","2025-09-11 08:05:55"
"33","65616000048820782","Field Auditor ","active","2025-09-11 08:05:55","2025-09-11 08:05:55"
"34","65616000048820778","Quality Auditor ","active","2025-09-11 08:05:55","2025-09-11 08:05:55"
"35","65616000048820774","Mystery Shopper","active","2025-09-11 08:05:55","2025-09-11 08:05:55"
"36","65616000048820770","Brand Executive ","active","2025-09-11 08:05:55","2025-09-11 08:05:55"
"37","65616000048820766","Bank Account Opening","active","2025-09-11 08:05:55","2025-09-11 08:05:55"
"38","65616000048820762","Documentation Collection","active","2025-09-11 08:05:55","2025-09-11 08:05:55"
"39","65616000048820758","Demat Account Opening","active","2025-09-11 08:05:55","2025-09-11 08:05:55"
"40","65616000048820754","Product Sales","active","2025-09-11 08:05:55","2025-09-11 08:05:55"
"41","65616000048820750","Product Promotion","active","2025-09-11 08:05:55","2025-09-11 08:05:55"
"42","65616000048820746","Lead Closure","active","2025-09-11 08:05:55","2025-09-11 08:05:55"
"43","65616000048820742","Lead Generation","active","2025-09-11 08:05:55","2025-09-11 08:05:55"
